Region,Year,Gender,Age_Group,Population,PCC_litres_year,Correction_factor,Relative_consumption,P_LA,P_FD,P_CD,P_BD
03:NS,2014,Male,15-34,115579,9.2092,0.8,100,0.104445,0.096193,0.799362,0.500506
03:NS,2014,Male,35-64,188141,9.2092,0.8,93.1044,0.024478,0.149031,0.826491,0.366642
03:NS,2014,Male,65+,83594,9.2092,0.8,80.8975,0.101372,0.246074,0.652554,0.235844
03:NS,2014,Female,15-34,115098,9.2092,0.8,44.2972,0.160413,0.123996,0.715591,0.366761
03:NS,2014,Female,35-64,200739,9.2092,0.8,37.3759,0.080984,0.176931,0.742085,0.232679
03:NS,2014,Female,65+,95562,9.2092,0.8,25.1546,0.158362,0.274128,0.567509,0.101762
03:NS,2015,Male,15-34,116910,9.3288,0.8,100,0.103016,0.097003,0.799981,0.502139
03:NS,2015,Male,35-64,186324,9.3288,0.8,93.076,0.023037,0.149838,0.827125,0.36828
03:NS,2015,Male,65+,86861,9.3288,0.8,80.8093,0.100122,0.24693,0.652947,0.237412
03:NS,2015,Female,15-34,112682,9.3288,0.8,44.0615,0.159,0.12481,0.71619,0.368388
03:NS,2015,Female,35-64,199618,9.3288,0.8,37.1118,0.079556,0.17774,0.742704,0.234313
03:NS,2015,Female,65+,98332,9.3288,0.8,24.8315,0.157107,0.274983,0.56791,0.103333
04:NB,2006,Male,15-34,96157,8.4916,0.8,100,0.123721,0.085295,0.790984,0.469919
04:NB,2006,Male,35-64,162495,8.4916,0.8,92.6672,0.043188,0.138003,0.818808,0.336259
04:NB,2006,Male,65+,46519,8.4916,0.8,79.6335,0.120265,0.23502,0.644715,0.205404
04:NB,2006,Female,15-34,94328,8.4916,0.8,40.5517,0.17979,0.113118,0.707092,0.336132
04:NB,2006,Female,35-64,166040,8.4916,0.8,33.2084,0.099417,0.165834,0.734749,0.202389
04:NB,2006,Female,65+,61137,8.4916,0.8,20.153,0.177122,0.263037,0.559841,0.071362
04:NB,2007,Male,15-34,94868,8.4916,0.8,100,0.125591,0.084131,0.790278,0.46768
04:NB,2007,Male,35-64,163404,8.4916,0.8,92.7093,0.04515,0.136863,0.817987,0.333986
